ID,Longitude,Latitude,Obs. Point,filter
101,131.898912,31.823247,pnt1_01,
102,131.892631,32.183869,pnt1_02,
103,132.107401,32.00606,pnt1_03,
104,132.101898,32.366707,pnt1_04,
105,132.321342,31.827861,pnt1_05,
106,132.316717,32.188548,pnt1_06,
107,132.5307,32.010001,pnt1_07,
108,132.52687,32.370703,pnt1_08,
109,132.743855,31.831074,pnt1_09,
110,132.740887,32.191806,pnt1_10,
111,132.954068,32.01253,pnt1_11,
112,132.95191,32.373267,pnt1_12,
113,133.16642,31.832883,pnt1_13,
114,133.16511,32.19364,pnt1_14,
115,133.377474,32.013646,pnt1_15,
116,133.37699,32.374398,pnt1_16,
117,133.589008,31.833289,pnt1_17,
118,133.589358,32.194052,pnt1_18,
119,133.800889,32.013348,pnt1_19,
120,133.802078,32.374096,pnt1_20,
121,134.01159,31.832292,pnt1_21,
122,134.013598,32.193041,pnt1_22,
123,134.224282,32.011637,pnt1_23,
124,134.227145,32.372361,pnt1_24,
125,134.434137,31.829891,pnt1_25,
126,134.437803,32.190607,pnt1_26,
127,134.472988,32.387117,pnt1_27,
128,134.647625,32.008513,pnt1_28,
129,134.65216,32.369194,pnt1_29,
130,134.856618,31.826088,pnt1_30,
131,134.861941,32.18675,pnt1_31,
132,135.070887,32.003978,pnt1_32,
133,135.077093,32.364595,pnt1_33,
134,135.279005,31.820883,pnt1_34,
135,135.285984,32.181472,pnt1_35,
136,135.494039,31.998031,pnt1_36,
137,135.501915,32.358565,pnt1_37,
138,135.663651,32.861573,pnt1_38,DONET2
139,135.712714,33.094382,pnt1_39,DONET2
140,135.701268,31.814278,pnt1_40,
141,135.7099,32.174774,pnt1_41,
142,135.718688,32.535248,pnt1_42,
143,135.727634,32.895699,pnt1_43,
144,135.757937,33.16659,pnt1_44,DONET2
145,135.774402,32.793889,pnt1_45,DONET2
146,135.777759,32.925266,pnt1_46,DONET2
147,135.837569,32.894953,pnt1_47,DONET2
148,135.841225,33.03362,pnt1_48,DONET2
149,135.861284,33.135465,pnt1_49,DONET2
150,135.917051,31.990675,pnt1_50,
151,135.926594,32.351106,pnt1_51,
152,135.936309,32.711514,pnt1_52,
153,135.956899,33.140917,pnt1_53,DONET2
154,136.123378,31.806273,pnt1_54,
155,136.133661,32.166658,pnt1_55,
156,136.144129,32.527018,pnt1_56,
157,136.339895,31.981911,pnt1_57,
158,136.351102,32.342219,pnt1_58,
159,136.362511,32.702504,pnt1_59,
160,136.557236,32.157125,pnt1_60,
201,131.886236,32.544469,pnt2_01,
202,132.312008,32.549214,pnt2_02,
203,132.737866,32.552517,pnt2_03,
204,133.163777,32.554377,pnt2_04,
205,133.589713,32.554795,pnt2_05,
206,134.015643,32.553769,pnt2_06,
207,134.432912,32.674728,pnt2_07,DONET2
208,134.441535,32.551301,pnt2_08,
209,134.445335,32.911974,pnt2_09,
210,134.44726,33.092303,pnt2_10,
211,134.449203,33.272627,pnt2_11,
212,134.496427,33.460614,pnt2_12,NOWPHAS
213,134.515838,32.625389,pnt2_13,DONET2
214,134.517411,32.764156,pnt2_14,DONET2
215,134.60028,32.707458,pnt2_15,DONET2
216,134.656777,32.729853,pnt2_16,
217,134.659117,32.910175,pnt2_17,
218,134.661477,33.090491,pnt2_18,
219,134.663859,33.270802,pnt2_19,
220,134.671712,33.320319,pnt2_20,DONET2
221,134.745443,33.40724,pnt2_21,DONET2
222,134.769265,33.248762,pnt2_22,DONET2
223,134.863401,33.340272,pnt2_23,DONET2
224,134.86736,32.547391,pnt2_24,
225,134.872877,32.90801,pnt2_25,
226,134.875673,33.088311,pnt2_26,
227,134.987014,33.275561,pnt2_27,DONET2
228,135.066114,33.323276,pnt2_28,DONET2
229,135.075001,33.172236,pnt2_29,DONET2
230,135.083412,32.72519,pnt2_30,
231,135.086613,32.90548,pnt2_31,
232,135.089844,33.085764,pnt2_32,
233,135.156286,33.643418,pnt2_33,NOWPHAS
234,135.153686,32.891266,pnt2_34,DONET2
235,135.16862,33.224571,pnt2_35,DONET2
236,135.190494,32.854258,pnt2_36,DONET2
237,135.224807,32.987679,pnt2_37,DONET2
238,135.293088,32.542039,pnt2_38,
239,135.300321,32.902584,pnt2_39,
240,135.303986,33.082848,pnt2_40,
241,135.309303,32.881808,pnt2_41,DONET2
242,135.341376,33.175884,pnt2_42,DONET2
243,135.408609,33.072635,pnt2_43,DONET2
244,135.45831,33.227649,pnt2_44,DONET2
245,135.509933,32.719077,pnt2_45,
246,135.513995,32.899324,pnt2_46,
247,135.52544,33.124342,pnt2_47,DONET2
320,133.057919,33.032086,pnt3_20,NOWPHAS
323,133.155816,32.631461,pnt3_23,NOWPHAS
324,133.16242,32.915093,pnt3_24,
328,133.376497,32.73513,pnt3_28,
329,133.376247,32.915488,pnt3_29,
330,133.375995,33.095841,pnt3_30,
331,133.37574,33.276188,pnt3_31,
332,133.590075,32.915516,pnt3_32,
333,133.590259,33.09587,pnt3_33,
334,133.590444,33.276217,pnt3_34,
336,133.803289,32.734824,pnt3_36,
337,133.803902,32.91518,pnt3_37,
338,133.804521,33.09553,pnt3_38,
339,133.805146,33.275876,pnt3_39,
340,133.805776,33.456216,pnt3_40,
353,134.017724,32.914477,pnt3_53,
354,134.018778,33.094823,pnt3_54,
355,134.019842,33.275163,pnt3_55,
359,134.147452,33.271408,pnt3_59,NOWPHAS
361,134.155513,32.926455,pnt3_61,
366,134.230059,32.733065,pnt3_66,
367,134.231536,32.913408,pnt3_67,
368,134.233026,33.093747,pnt3_68,NOWPHAS
369,134.234529,33.27408,pnt3_69,
373,134.343606,33.453723,pnt3_73,
374,134.364473,32.642754,pnt3_74,
540,133.586892,33.482532,pnt5_40,NOWPHAS
